the              : 265364: определенный артикль
be               : 216236: быть, нужно, будь
and              : 164059: и
of               : 123410: показывает принадлежность
a                : 118190: неопределённый артикль
to               : 117665: к, по направлению, указывает на инфинитив глагола
laboratory       :    119: лаборатория, лабораторный
monsieur         :    119: мосье
peaceful         :    119: мирный
swoop            :    119: налетать, налет
victory          :    119: победа
apply            :    118: относиться
attic            :    118: чердак
chew             :    118: жевать, обдумывать
cop              :    118: ловить, полицейский
decay            :    118: разрушаться, разрушение
element          :    118: элемент, элементный
errand           :    118: задание
explosion        :    118: взрыв
foe              :    118: противник
lash             :    118: ресница
medical          :    118: медицинский
mess             :    118: возиться, беспорядок, путаница
monday           :    118: понедельник, в понедельник
northward        :    118: к северу, северный
rack             :    118: мучить, стойка
stab             :    118: ранить
tempt            :    118: искушать
timid            :    118: робкий
wreck            :    118: терпеть крушение, повреждение
bewilder         :    117: ставить в тупик
career           :    117: карьера
classroom        :    117: классная, комната
droop            :    117: свисать
ghastly          :    117: жуткий
method           :    117: метод
principal        :    117: принципал, директор школы, главный
rifle            :    117: винтовка
soak             :    117: пропитывать, пропитка
vivid            :    117: живой, яркий
acknowledge      :    116: признавать, дрез)подтверждать
america          :    116: америка
bald             :    116: лысый
batter           :    116: мять, тесто
code             :    116: кодировать, код, кодекс, кодовый
gear             :    116: устройство, мех)шестерня, передача
lawyer           :    116: юрист
misery           :    116: несчастье, нищета
pat              :    116: похлопывать, хлопок, пэт, готовый
physician        :    116: врач
shrill           :    116: вопить, визг, резкий
sparkle          :    116: сверкать, искрить, искра
statement        :    116: утверждение, прог)оператор, конт)формулировка, заявление
thief            :    116: вор
tune             :    116: настраивать, мелодия
awaken           :    115: будить
breathless       :    115: запыхавшийся
craft            :    115: средство, ремесло, судно
estate           :    115: имущество
farmer           :    115: фермер
halfway          :    115: на полпути, половинчатый
helpless         :    115: беспомощный
indifferent      :    115: безразличный
peeve            :    115: раздражать
phrase           :    115: фраза
pilot            :    115: управлять, пилот, опытный
pont             :    115: понтонный, мост
quill            :    115: игла
rent             :    115: арендовать, аренда
sole             :    115: подошва, единственный
squat            :    115: садиться на корточки
steeple          :    115: шпиль
straw            :    115: солома
swarm            :    115: роиться, рой
wan              :    115: бледный
wrought          :    115: работать, отделанный
departure        :    114: отправление, отъезд
disease          :    114: болезнь
eater            :    114: едок
entity           :    114: сущность, инф)объект
expedition       :    114: экспедиция
genuine          :    114: истинный
guilty           :    114: виновный
hurl             :    114: метать
instinct         :    114: инстинкт
lion             :    114: лев
maintain         :    114: поддерживать
moral            :    114: мораль, моральный
nigh             :    114: близко
overcome         :    114: преодолевать
salt             :    114: солить, соль, соленый
shower           :    114: душ, ливень
thump            :    114: колотить, удар
vital            :    114: живой
wealth           :    114: богатство, масса
agony            :    113: агония
appoint          :    113: назначать
balloon          :    113: раздувать, баллон
blossom          :    113: расцветать, цвет, цветение
capital          :    113: капитал, столица, основной
coal             :    113: каменный, уголь, каменноугольный
coil             :    113: катушка
cur              :    113: ублюдок
dismiss          :    113: распускать
fountain         :    113: фонтан
glisten          :    113: блестеть
handful          :    113: масса
idiot            :    113: идиот
impressive       :    113: впечатляющий
insect           :    113: насекомое
lighter          :    113: зажигалка, более светлый
permission       :    113: разрешение
restless         :    113: беспокойный
salute           :    113: салют
strict           :    113: строгий
wither           :    113: вянуть
chicken          :    112: цыпленок, куриный
clang            :    112: лязгать, лязг
defense          :    112: защита, защитный
entertain        :    112: развлекать
experiment       :    112: экспериментировать, эксперимент
mechanical       :    112: механический, автоматический
odour            :    112: запах
passionate       :    112: страстный
program          :    112: программировать, программа, программный
sacred           :    112: священный, инф)зарезервированный
sex              :    112: секс, пол, половой
sheep            :    112: овца
starve           :    112: голодать, истощаться
substance        :    112: субстанция, вещество, по существу
tool             :    112: оснащать, средство
accomplish       :    111: выполнять
chant            :    111: петь, пение
complex          :    111: комплекс, сложный
consent          :    111: соглашаться, согласие
crackle          :    111: трещать, треск
crew             :    111: команда
fifth            :    111: пятый
frantic          :    111: отчаянный, лихорадочный
hire             :    111: нанимать, прокат
launch           :    111: запускать, запуск
lofty            :    111: высокий
potato           :    111: картофель, картофельный
resolution       :    111: решение, вид, резолюция, разрешающая, способность
russian          :    111: русский, русско
soil             :    111: пачкать, почва
squint           :    111: жмуриться, косоглазие
supply           :    111: поставлять, обеспечивать, поставка
terrorist        :    111: террорист, террористический
wade             :    111: переходить вброд
waistcoat        :    111: жилет
willow           :    111: ива, ивовый
amiable          :    110: дружелюбный
dismal           :    110: мрачный
harmony          :    110: гармония
healthy          :    110: здоровый
icy              :    110: ледяной
mingle           :    110: смешиваться
musical          :    110: комедия, музыкальный
thy              :    110: твой
vary             :    110: менять, изменяться
worship          :    110: поклоняться, поклонение
absorb           :    109: поглощать, амортизировать
accurse          :    109: проклинать
apprehension     :    109: понимание
bonnet           :    109: капот
clench           :    109: принимать твердое решение
detect           :    109: обнаруживать
fro              :    109: to and fro туда-сюда
goose            :    109: гусь, гусиный
imp              :    109: бесёнок
mend             :    109: ремонтировать, ремонт
mission          :    109: миссия, задача
national         :    109: национальный
principle        :    109: принцип
rusty            :    109: ржавый
shimmer          :    109: мерцать, мерцание
slant            :    109: наклонять, наклон
snore            :    109: храпеть
sugar            :    109: сахар, сахарный
union            :    109: союз
velvet           :    109: бархат
apartment        :    108: квартира
cauldron         :    108: котел
ceremony         :    108: церемония
channel          :    108: канал, канальный
coast            :    108: берег, береговой
cure             :    108: лечить, инф)восстанавливать, лечение
distract         :    108: отвлекать
ford             :    108: переходить вброд, брод, форд
kneel            :    108: становиться на колени
motor            :    108: двигатель
perish           :    108: гибнуть
profession       :    108: профессия
quarrel          :    108: ссориться, ссора
reduce           :    108: уменьшать, сводить
temporary        :    108: временный
tournament       :    108: турнир
universal        :    108: универсальный
virtue           :    108: достоинство
warrior          :    108: воин
watson           :    108: ватсон
absurd           :    107: абсурд, нелепый
accurate         :    107: точный
deceive          :    107: обманывать
defend           :    107: защищать
galaxy           :    107: астр)галактика
model            :    107: моделировать, модель
organ            :    107: орган, блок
rib              :    107: ребро
sawyer           :    107: пильщик
scientific       :    107: научный
stable           :    107: конюшня, стабильный
stool            :    107: табуретка
complicate       :    106: усложнять
dignity          :    106: достоинство
dip              :    106: окупать, погружение
goblet           :    106: бокал
incident         :    106: инцидент, смежный
landscape        :    106: пейзаж, горизональный
marvellous       :    106: чудный
motive           :    106: мотив
myrtle           :    106: мирт, миртовый
offend           :    106: обижать, обиженный
patience         :    106: терпение
pose             :    106: предлагать, поза
rude             :    106: грубый
serpent          :    106: змея
shatter          :    106: разрушать
spray            :    106: аэрозоль
wary             :    106: осмотрительный
activity         :    105: деятельность, активность
anyhow           :    105: как-нибудь
august           :    105: август, августовский
bearer           :    105: податель, предъявительский
british          :    105: британский
bronze           :    105: бронза, бронзовый
corp             :    105: корпорация
depress          :    105: понижать, подавлять
equipment        :    105: оборудование
investigation    :    105: исследование
jug              :    105: кувшин
objection        :    105: возражение
pole             :    105: полюс
scheme           :    105: схема
southern         :    105: южный
watcher          :    105: наблюдатель
whoever          :    105: кто бы ни, который бы ни
worm             :    105: червь
acquaint         :    104: знакомить
adult            :    104: взрослый
assistant        :    104: ассистент, помощник
convey           :    104: перевозить, инф)передавать
decent           :    104: скромный
dormitory        :    104: общежитие
draught          :    104: сквозняк
gallop           :    104: скакать галопом, галоп
genius           :    104: гений
gratitude        :    104: благодарность
lump             :    104: валить, кусок, шишка, единовременный
niece            :    104: племянница
operate          :    104: обслуживать, действовать
poet             :    104: поэт
punish           :    104: наказывать
reader           :    104: читатель, инф)считыватель
recollection     :    104: воспоминание
replace          :    104: заменять, замена
solution         :    104: решение, раствор
soup             :    104: суп, суповой
stalk            :    104: шагать, выслеживать, стебель
throb            :    104: пульсировать, биение
tidings          :    104: весть
atmosphere       :    103: атмосфера
attendant        :    103: сопровождающий
bile             :    103: желчь
dizzy            :    103: головокружительный
grumble          :    103: ворчать
lazy             :    103: ленивый
license          :    103: лицензировать, лицензия, лицензионный
museum           :    103: музей
nick             :    103: царапать, щербина
prey             :    103: жертва, добыча
shutter          :    103: затворять, ставень
sixty            :    103: шестьдесят, шестидесятый, шестидесяти
speaker          :    103: докладчик, диктор, спикер, динамик
strap            :    103: связывать, полоса
stre             :    103: stre enough на самом деле
talent           :    103: талант
thee             :    103: (устаревшее) ты
thieve           :    103: воровать
toy              :    103: играть, игрушка
tube             :    103: трубка, тюбик, лампа
variety          :    103: разновидность, ряд
bargain          :    102: торговаться, сделка
brandy           :    102: брэнди
bus              :    102: везти в автобусе, автобус, инф)шина
careless         :    102: небрежный
chatter          :    102: стучать, болтать, болтовня
countenance      :    102: выражение лица
dale             :    102: долина
deed             :    102: дело
discussion       :    102: дискуссия, обсуждение
expensive        :    102: дорогой
inspire          :    102: вдохновлять
journal          :    102: журнал
performance      :    102: исполнение
refresh          :    102: освежать, восстановление
scowl            :    102: хмуриться
sherlock         :    102: шерлок
sock             :    102: носок
soften           :    102: смягчать
sprawl           :    102: растягиваться
steward          :    102: стюард, официант
structure        :    102: структура, структурный
tradition        :    102: традиция
whence           :    102: откуда
achieve          :    101: достигать
active           :    101: активный
behave           :    101: вести себя
caution          :    101: предупреждение, осторожность
churchyard       :    101: церковный, двор
confirm          :    101: подтверждать
david            :    101: дэвид
debate           :    101: обсуждать, дискуссия
doze             :    101: дремать
duchess          :    101: княгиня
frog             :    101: лягушка
fry              :    101: жарить, сгорать
huddle           :    101: жаться
injury           :    101: повреждение
insult           :    101: оскорблять, оскорбление
italian          :    101: итальянец, итальянский
pirate           :    101: воровать, пират, пиратский
preparation      :    101: подготовка, препарат
shave            :    101: брить, мех)обрезать, бритье, мех)шевингование(обрезка)
slab             :    101: кусок
stack            :    101: складывать, кипа, инф)стек
suppress         :    101: подавлять, запрещать
sympathy         :    101: сочувствие
torment          :    101: мучить, мучение
wrench           :    101: ключ
dean             :    100: декан
den              :    100: логово, комната
disappointment   :    100: разочарование
earn             :    100: зарабатывать
firebolt         :    100: ____________________
hurried          :    100: поспешный
october          :    100: октябрь, октябрьский
passe            :    100: устаревший
personality      :    100: личность
sullen           :    100: угрюмый
thirteen         :    100: тринадцать, тринадцати
threat           :    100: угроза
writhe           :    100: корчиться
